N,Sequential,PyCUDA,ThreadPool
1,0.0024272900918731466,0.33050154968805145,0.04942617983033415
26,0.5940056400322646,0.22388533467164962,4.006678844853013
51,1.9207295567078593,0.19802148313222764,14.039863673291014
76,4.012286179977309,0.19365625228601857,26.549579712391278
101,6.793066763981187,0.19659645392675884,39.942627509939484
126,10.264362683325695,0.20261829983307203,49.796931328310166
151,14.474027467113046,0.20962860412380127,61.0985739028443
176,19.38368977119353,0.2173849085738766,72.48666902747573
201,25.131057016608086,0.23131539544717977,87.54749610667608
226,31.396753497941972,0.24284035394521197,100.91694233400631
251,38.5122231444885,0.25528910265579313,115.18600127277419
276,46.21147050163927,0.2671156982614775,135.13762840169875
301,54.83537385304002,0.2789192199326443,151.8040864554048
326,63.937313417102686,0.29034813211702776,165.67574940290797
351,74.03234232062823,0.3027941320130291,182.57105299271643
376,84.57012361560146,0.3154515431606342,198.39751999502369
401,96.19689353704256,0.32790530654464795,227.37770585533272
426,108.11722627164879,0.3407126733954,262.1227528361608
451,120.93793035577906,0.35337382059783284,290.39089144899907
476,134.53981279797708,0.3663908670678211,319.07571575057585
501,149.04579185902202,0.37901885432629134,352.78869124103403
526,163.98985431724725,0.3921973118518839,389.8908661468751
551,179.8062727147663,0.40537917436070176,423.74988823700426
576,196.03251771581208,0.4186064866795884,457.30023815753435
601,213.32913757398055,0.43163573602505495,492.1809393736298
626,230.93644468613712,0.4448551400212007,526.6541371758003
651,249.81339949701766,0.45840877185347145,568.015117501884
676,268.9667529631917,0.4718084221635114,605.4707347700415
701,289.4196816823913,0.4881624465809276,645.4554326621158
726,310.0581824129851,0.5014140040172302,689.4769933907361
751,331.91927676257035,0.5158639174412876,738.3820079445974
776,353.89840085998674,0.5294930531454156,786.4475537700591
801,377.38360319877256,0.5428142460997069,834.9476947270282
826,400.82553914911074,0.5565282226769555,883.4919166862288
851,425.78845904456637,0.5699566400206615,933.5035729511894
876,450.7104867052719,0.583084738633867,1027.0980609114285
901,476.49785966242183,0.5964892786653001,1128.657248157876
926,502.89740850079096,0.6100214818568355,1238.603685635821
951,530.3747599161493,0.6234635323142776,1352.6422442292508
976,558.3363128119888,0.6370997347385128,1462.8455207535185
